abad;abad,jaman
kulub;kulup
kumal;kamak,kamah
kuman;koman,kuman
kuamt;aghingcakak,kumat
kumbang;myuyong,tebabaung,uding,penabeng
kumis;kumis,komes
kumpul;himpul,kepul
kumur;kakumughg,komou
kunang-kunang;kakunangan
kunci;kunci,kecei
kunimg;kunyinyigh
kunjung;silau,liyuh,unutnyegok,bileng,pegu
kuno;tumbai,kukno,konou
kunyah;ngangngal,kunyah
kunyit;kunyyigh,kunyew
kuping;cuping
kupu-kupu;haliwawak,alibuwak
kur'an;kuran
kurang;kughang,koghang
kurap;koghap,kughap
kuras;koghas,langok
kurban;kughban,keghban
kursi;kughussi,kughsei
kurung;kughung
kurus;ghayang,cingai
kusut;kusuk
kuatang;kotang
kutil;butigh,kutil
laba;utttung,tung
labah-labah;lawah
labil;kacau,maknetteu
labu;tabu,lebeu
labuh;labuh,beghadu
laci;lacei
lada;lada,ladou
lading;daghang,kebun,huma,umo,umou
laden;layan,tawok
lading;sekin,lading
laga;ghigu,laga,lagou
lagak;gelik,lagak
lagi;luwot,kuppek,kopok
lagu;lagu,lageu,pattun
lahir;hejong,tisambot,teghubik,lahegh,tubik
lain;sumang,baghih,lain
laju;teghus,laju,lajeu
laki;ghgah,bakas
laknat;kutuk,laknat
laku;laku
lalai;lupa,lengah,lalai
lalap;ulam,lalap
lalat;hagjal,ghal,ghaghibung
lalim;bengis,kejam
lalu;liyu,liyeu,lewat
lama;beni,muni,munei
lamar;ngita,minang,cakakpun
lambai;ngejung,lambai
lamban;legoh,ggeguk,gumok
lambing;tanda,tandou
lambat;legoh,alun,kifet
lambung;ngangahati,lepat,gatcak
lamppau;likut,jebei,timbai,lewat,saighadu
lampit;kasha,lappit,apaiwei
lampu;damagh,lappu,lappeu
lampung;lapping
lancang;laccagh,lassung,lughus
lancip;tajom,tajem
lacong;midogh,meghantagu
lacung;laccang
landa;teghganjang,langgagh
landaai;pattai
landak;ghuyyan,wiyyan,luyan
landas;ghandos,alas
langau;haghal,langue,ghal
langgam;caghem,caghou
langgan;langgan
langgaar;langgagh,sughau
langgeng;mesaka,kekel
languk;nuuha,pungah,ngasei
langit;langit,langek
langka;jghang,neighing
langkah;jippang,jingkah,,lakkah
langsat;lassak,ghukeuk
langsing;lalissighhan
langsung;teghus,lassung
lanjut;laju
lantai;lattai
lantang;jelasdinah,lattng
lantas;laju,teghus
lanting;tibeng,lepau
lantur;nejang,tesepeng
laos;lawas
lap;gabus,lap
lapang;lapang,beghaknenah
lapangan;tannohlapang
lapar;bettoh
lapik;lapis,alas
lapis;lapis,susun
lapor;ngadu,betulang,ngenipandai,ngukunan
lapuk;bughak
lara;lagha,sushatei
larang;tahan,makngejuk,tegah
laras;lup
lari;tuyun,cekelang
laris;laghis,lakeu
larut;lipugh,capping,sou
laskar;seghdadu,pejegit
latah;latah,tatughutan
latih;latih,ajagh
lauk;gulai,nekan,suwa
laut;lawok,lawet
lawak;ceghagil,lucceu
lawan;lawan,haguk
layak;layak,patut
layan;layan
layang;layang,temabugh
layar;layagh
layu;layu
lazim;biasa,biaso,kelai
lebah;myingok,uding
lebak;ghawang,senap
lebar;beghak
lebaran;buka,lebaghan
lebih;lebih
lebur;haccuggh
lecet;mellalas,lelis
ledak;ledak,pecoh
lega;puashati,leggo,lapang,tegeggo
legit;mettogh,manis,mes
legok;kelung
leher;galah,keciciccil
lekang;bekqaa,belah
lekas;geluk,ghikas
lekat;nandok,lekok,tandok,neppel
leleah;buya,payah
lelaki;bkas,ghagah
lelakon;lallkun
lelap;lullo,lenyap
lele;kalang,hitu,iteu
leleh;tekuwai,leleh
laluasa;sehahaga,bebas,kedeago
lelucon;guwailucceu
leluhur;poyang,tuyuktughing,appeutuyuk
lemah;lamoh
lemak;taboh,lemakmenyak
lemang;lemang,lemmes
lembaga;lembaga
lembah;ghulah
lembap;melalasok,babasoh
lembar;lembagh
lembek;panyak
lembing;payan,tumbak
lembu;jawi,sapi,sapei
lembut;alus,lembut,lemoh
lempar;sitang,haccong,tayagh,lepau,tibeng
lempem;layu,lepem
lempeng;leppeng,ghalis
lemper;lepegh,selippok
lempuyang;lepoyang
lena;lenyap
lengah;lalai,lingah,makpastiti
lengan;pelissan,pungeu
lengang;hening,hiyon,sunyei,sapei,yen
lenggang;lenggang
lengkap;genok,cukup,genep
lengket;ngelekok,nando
lengking;making
lengkuas;lawas
lengos;lengos
lenyap;lebon,melap
lepas;lepas,lucu,tettang
lestari;melana,mesaka,kekel
lesu;lemoh,lesu
lesung;lesung
letak;ghang,pok
letih;palai,payah,kelloh
letup;letup,pecoh
letus;ledak,letus
lewat;liiyu,lewat
lezat;sedep,bangek
liang;ghawong,lobanglunik
liar;mekelagh,makghinok,jalang,buas
licik;petegh,licik
licin;liyut,liyogh
lidah;ma
lidi;liahai,lidei,bilah
lihai;liyak,tinuk,tuntong,nah
liku;liku,kelok
lilin;lilin
lilit;llilit
lima;lima,limo,lemou
limpah;kelippah,luap
lincah;gesit
lindas;giling,tnedih,giles
]lindu;lukuk,lenoi
lindung;lindung
linggis;tembilang,lingis,pengali
lingkar;ngelilik,lekegh
linglung;bengong,nengong
lintah;lintah
lintang;lintang
lintas;liyu,lewat
linu;mengangan,mengeghi
linpan;halupan,lupan
lipas;ipos,ipes
lipat;kulak,lepti,kuppih,lipet
lipur;apus,melap
lisan;cawa,ocap
liur;ilui,lui
loba;tamak
lodeh;tabogh.Lodeh
logat;logat
lohor;luhug
lolos;lepas,lucuklupuk,lulus
lomba;cabai
lompat;lluccak,lepat
loncat;luccakhambung
lonceng;lucking,kighingan
longer;lapang,pidah
lonjak;nambah
lonjong;buttoghtelui,bujeu
lontar;sitang,situh,tibeng,leppau
lonte;meghidang,lacugh
lorong;lughung
lowong;bakkang,kosong
loyo;kelemohan
luag;luwang,kosong
luap;luap
luar;laugh,luwah
luas;beghak
lubang;ghawong,liyang,lobang,bembung
Lubuk;ulok,olok
lucu;ceghagil,luceu
ludah;iluui,luimitep
ludes;bela,gelek
luhur;helau,gatcak
luka;katan,metibak
lukis;lukis,gambagh
luku;lukeu,bajak
luluh;haccugh,ghemek
lulus;lulus
lumayan;wayahnayan,watjogou,lumayan
lumbung;balai,lumbung
lumpang;lesung
lumpuh;luppuh
lumpur;beghos,litak
lumrah;kelai,biasa
lumut;lukuk,lomot
lunak;lonos
lunta;sosah
luntur;massuh,luntugh
lupa;lupa,lopou
luptu;lebou,melap
lurah;pesighah,kepala,kepalo
lurus;ghalis,ghulus,tebeng
lusa;sawai
lusin;lusin
lutung;cigug,lultung
lutut;tuwot,tuwet
laws;sikep
maaf;mahap,appun
mabuk;mabuk
mabur;hambogh,temambugh
macam;macom,ghupa
macan;lemawong,kumbok
madrasah;medeghasah
madu;medu
magrib;megeghihb
mahal;mahal,kahut
mahaligai;mahligai,tahta
mahar;maskawin
mahir;pandai,petegh
main;main,begughau,musi
majalah;majalah
majelis;meghawati
majikan;tuwan,tuhoghjao,puan
majir;beladingan,mandul,majigh
maju;maju,mejadi
mak;induui,mank,ina,umi
maka;maka,mulo,mulo,jadi
makam;luwah,kubugh
makan;mengan,mejik,majuh,ngebelot
makbul;kabul,mekebul
makcik;minan,odou
makelar;makelagh,agin
mahluk;maghluk,genuai
maki;pidak,cecasuapa,kajahuyah,landak
makin;tambah,kasagh,lebih,kessu
maklum;maklum,ngettei,ngejemanoh
maklumat;pengumumanmepandai,ma'lumat
makmun;makmun
makmur;makmughg,,ghayo
makna;ghatti,gheettei,maknouo
maksiat;maksiat,jahat,ghasanganggeu
maksud;tujuan,teges,maksud
malam;debingi,manom
malang;malang,sial,sosah
malapetaka;bencana,bala,bahlou
malaria;alaghia
malas;malas,tagi
maligai;mahligai
malim;malim,ulamak
maling;maling,beghetik
malu;liyom,maleummiluk
mamah;ngangal,musok
mampir;singah
mampu;dacok,ngedok',sngggup,dapok,kiwah
mampus;mati,pegat,puppos
mana;dipa,keddo,kedou
manakala;manakala,andai,sekigha,lamen
manic;panic,belanga
mancung;selagh,maccung
mandate;kepegcayaan,wewenang,kuaso,mandat
mandek;taghu,beghadeu
mandi;imul,mandi,duwai
mandor;mandugh
mandul;mandul,majigh
mamfaat;guna,peghulu,paedah,manpaat
mangga;limus,mangga
manggis;manggus,manggis
manggut;cunggok,ngangguk
mangkat;mati,matei,mapat
mangkir;mukkigh
mangkok;cumbung,mangkuk,cakkigh,cawan,kubuk
mangsa;munsa,massou
mani;kunon,wayyuyuh,manei
manis;mettogh,mes
manja;bebuju'an,kepeng'an
manjujr;manjoch,munjaghep,bisou
mantap;mattep,kukuh
mantel;jashujan,kawai
mantra;mammang,jampi,baco-an,lelemu
mantu;mattu,matteu
manusia;jamma,jelema,jimo,manosiou
mapak;nyussung,ngebileng,nyyusul
marah;ngamuk,magha,butong,suyai,gacci
marak;meghiyah,ghamik
marbut;meghebut
marga;meghagga,meghgouo
mari;ija,hunja,adekjo,nitdija,adekjou
markas;maghkas
martabat;deghajat,pangkat,maghtabat
martil;pali,beghang
masa;waktu,masa
masak;nyunjong,ngekuk,tasak
masalah;sual,hal
masih;pagun,lagi
masin;mesin
masing;tenggalan,sayan
masing-masing;unggal
masjid;mesigit,msjid
masuk;kughuk,tisok
masyarakat;jelemaghamik
masygul;kesal,susah,atei
masyhur;tekenal,kesuhugh,tekatou,kecacah
mata;mata,mato,matou
matahari;mataghari,matopanas
matang;mesak,tasak,mesiayu
mati;maklagi,mati,ninggal,laju,mulang
mau;haga,ago,agou
maut;mawut
mawar;kembangghos,mawar
mayang;takung,ugai,kallo
mayat;mayat,bebatang
mediator;penengah
mega;aban,awan,sabebk
megah;mewah,alo
meja;mija
mejen;mikkoh
mekar;makagh
melarat;melaghat
melati;kembmangmelugh
melek;nyedit,ngenah,negliyak
melempem;ngelik,layu
meleng;makawas,lengah,telupa
meleset;makkena,tegelesugh,meleset
melongo;ngelangau
melulu;cumo,aden-aden,sematou-matou
memang;sangau
memar;behighom,memogh,ighem
mempan;mampan,muppan
mempelai;maju,mengiyan,majeu
menang;menang
menantu;mattu,anakmantu
menara;menara
menceret;bucugh,menceghet
mencong;micung
mendadak;ngedadak
mending;watjuga,watjagou
mendung;gittop,mendung
mengapa;menapi,apingeba,ulahapi,ulahnyaou
mengkilap;menghilap,nyegelak
mengkudu;mengkudu
meninjau;nyilau,ngliyak,ngenah
menir;lemai
menit;menit
menjangan;uccal,cal,uncal
mentah;matah
mental;tesitang,tepelanting
mentereng;buyun,wawai,hallau
menteri;menteghi,menteghei
mentimun;lepang
menung;kicikangon,bepikigh,ngehamma
menyan;munyan
menyolok;mupanjak
merah;merak
meranti;beghatti,meghattei
merawan;mengeghawan
mercon;peghaccun,bekasan,beleduk
mercu;puncak,pecek
merdeka;merdeka
merdu;meghdu
mereka;tian,tianghuppok
merem;medom
meriah;ghamik
meriam;meghiem
marieng;meghuyung,maghing
merica;lada,ladou
merosot;tekusagh,tegesugh,tehanjal
merpati;acacang,darou
mertua;metuha,metohou
mesem;ngimut
mein;mesin
meski;walau,kipak
mesra;segeghingan,andes,buguh,ilingtemen
mesti;musti,makdacokmak
mesum;guwaijahal,cello,kamah
meter;meter
mewah;pawagh,melapang,nuabtin,miwah
milik;kaddaw,kabbak
mimbar;minbar,podium
mimpi;ngepala-I,ngatugh,mippin
minat;peghetok,teghok,kahag,agou
minggat;lijung,tuyun
minggir;minggigh,nyimbin
minggu;ahad,minggeu
minta;kilu,kileu,kilui
minum;nginum,inum
minyak;minyak
miring;giccing,mighing
mirip;megaguggoh,nyangem,injuk-injuk
misan;wagheitanjagh
miskin;melaghat,susah,miskin,sukeghg,makngemek,makmakkaou
mobil;mubil
modal;mudal,pukuk
model;model
modern;modern,majeu
moga-moga;kakalau,mudah-mudahan
mogok;mogok,macet
mohon;ngilul,ngehaghep
molek;sikop,sikep
momok;hattu,atteu,penyakit,penyakik
moncong;junguk,moncong
mondar-mandir;olang-oloh,mandakmandegh
montok;montok,mukel
monyet;menatat,kegh,kegho
motor;mutor,motor
muak;mehjak,nyuwoh,bejjei,geyoh
mual;menyunyugh,ngelukulet,agoumotah,ngegeluyou
mualaf;mualap
muara;hemagha,muagha,kualou
muat;muat,ngisi
mubazir;ngelalababh,bughus,mubazigh,ngebabela
muda;nguha,mudo,muda
mudah;tunai,gappang,mudah
mudik;mudik,munggak
mufakat;mepakat
muhrim;muhrim
mujarab;mejeghab
mujur;mujogh,mujugh,ghawan
muka;pudak,mukkaou
mukenah;telekung
mula;awal,asal,mula,mulou
mulai;tappil,mulai,molou,tapok,tajok
mulas;metahok,sakkikbeteng,sakiktenai
mulur;mulugh,nejang
mulut;banguk,ngegus,ganggou
mumet;pusing,pudogh
muncul;ngehambul,timbul,ticcul,ceccul
mundur;mundogh,kundugh
mungil;lunikngesitik
mungkin;dapekmunih,dapokjadei,pitang
mungkir;mukkigh,mekigh
mungut;ngudok,ngelahang
muntah;mutah
mupakat;mepakat,beghumbuk,beghunding
murah;mughak,makbughega
muram;mesam,sughem,mikkop,kelompundak
murid;mughid
murka;ngamuk,mesika,megahkou,maghah
murni;aseli,tulen
musang;musong
musibah;bala,musibah,celakou
musjik;music
musim;baghak,musim
musnah;bela,gelik,accugh,lotok,putout,liyuo
mustahil;mustahil
musuh;lawan,musuh,seteghau
musyawarah;hippun,ngicik,mupakat,musyawahagh,beghebuk
mutung;tutung,habu
nabi;nabi,nabbei
nada;bunyi,baghou
nafkah;napkah,ghejeki
nafsi;tenggalan,sayan
nafsu;napsu,hawa,nasseu
naga;naganagou
nahas;nahas,bala
naik;cakak,middenggak
najis;kamak,kamah,najjis
nakal;lacugh,nakal
nakoda;geghal,gelagh,geleu,cuwak-an
nampak;keliyak,kemhana,panjak
nampan;nalam
namun;najin,lamen,walau,tapei
nanas;nyanyas
nangka;belasa,lemasa,menaso,menasao
nanti;kanah,na'an,nanti
napas;hengas,mehiggo
napuh;kaccil,napuh
nasi;mi,kan
nasib;temuan,sughatan,nasib
nasiht;petuwo,cacao
naska;tulisan,buk
naung;bindom,lindung
negara;negagha,negaghou
negeri;negeghi,negeghei
nekad;nyangsat,nekad
nelayan;tukangiwa,tokangbepuyou
nenek;ajjong,ambai,appeunyayik
neraca;dacing,tingbangan
neraka;neghaka,neghako
nestapa;sedih,susah
netral;tatengah
ngambek;sikkuh,singuut
nganga;tebeghanga,tebokak
ngawur;ngeghacau
ngeri;ngegghi,ghabai
ngilu;ngenggegh
ngobrol;ngicik,bebalah,ngebeghol
ngompol;miyohsulah,miyohdilapai
ngumpet;segok,bejamok
niat;peghetok,niat,maksud
nikah;kawin,kahwin,nikah
nikmat;bangik,seneng
nilai;nilai,ghega,egou
ningrat;jammabatin,ulunngasei
nipah;nepah
nisan;cighi,padung
niscaya;musti,tatteu
noda`;aib,cacat
nol;nol,kosong
nomor;nomogh
nona;mulli,mulei
nongkrong;cengingngik
nonok;sik,puk,sek
nonton;nyubuk,ngenah
norma;ukughah,patokan
nujum;nujum,ngeghamal
nukil;nokel,nyalin
numpanng;nuppang,nepang
nyala;lalung,baya,ambughg
nyaman;agas,nyinnyik
nyana;sakkou,teduh
nyayi;pattun
nyaring;keghanning
nyaris;cikan,naghas,pandok
nyaru;nyaghu,nyagheu
nyata;jelas,kenahan,nyatou
nyawa;nyawa,ghguh,nyawao
nyeyak;lullok,puwegh
nyiur;kelpa,kelapou,nyiwi
nyolong;ngemaling,nyimot
obat;ubat
obor;hinagh,obogh,inangh
obrol;ngicik,bebalahan
olah;sani,laku
olahraga;geghanbadan
oleh;ulih,ulah,teguwai
oleng;goyang,buayun-ayun
olok;ulok
ombak;umbka,gelombang
omel;ghiwil,macah-macih,ghomeng
omong;cawa,cawo,bahaso
ompong;ghagung.ghagoh
onar;tegogh,tegeu,ghusuh
ongkos;kos,opah,biyou
orang;jelema,jeghema,jimo,jimou,ulun
orok;upi,upei
otak;utok,otok,utek
oto;mubil
oyong;tipput,ughung
pabial;kapan
pabrik;paberek
pacar;tunang,pangan,tenandai,kehagou
paceklik;paceklik,musimbetoh,kughangmengan
pacul;pacul
pada;adek,adok
padam;mati,matei,pedom,miyep
padan;banding,gegoh
pandang;tanohlapng,beghak
padat;padok,puppek
padi;paghi,paghei
padu;lippuh,cappugh
pagar;kuta,kutou
pagi;pagi,,klibak,tukuk,tepui
pagut;paguk
paha;paha,pahho,pohou
pahal;pahal,pahalou,balosan
paham;paham,ngegheti
padi;paghi,paghei
padu;lippuh,cappugh
pagar;kuta,kutou
pagi;pagi,klibik,tukuk,tepui
pagut;paguk
paha;paha,pahho,pohou
pahala;pahala,pahalaou,balosan
paham;paham,ngegheti
pahat;pahak,pahhak
pahit;pahit
pahlawan;pahlawan
pajak;pajek,cuki,biyo
pajang;nanjagh,nyulukken
pakai;pakai
paksa;bidi,paksa,passou,assel
pakiu;pakeu
palak;palak,ngehagmal
palang;pasok,palang,tehak
palawija;tanamon,daghak
paling;linguk,putegh
palsu;palsu
palu;palu,gundam,pemukul
paman;mamak,mamang,kemama
pamer;ngejajak,culuk
pamili;puwaghi,menyanak
pabah;panah,sepenuh
panas;panas,handop,andop
panau;beluwah
pancang;paccang,patok
pancar;paccigh
panci;paccei
pancing;kawil,tajugh
pandai;nalom,pintogh,pandai
pandan;pandan
pandang;tinuk,liak,nenah
pandu;pandu
panen;pengetesan,musim
panggang;panggang,paghom
panggil;ughau,cuwak
panggul;tunggang
pangkal;pakkal,ngemula
pangkaas;ghimbas,hughing
pangkat;pakkat
pangkku;taban,kepik
panglima;ulubalang
panglong;panglong
panitia;pematu,pengalaku
panitra;jughutulis
panjang;tijang,kejung
panjar;panjegh
panjat;cakak,nakakt,akkot
pantai;pinggigh,penggigh
panatng;pattang,makkasi
pantas;pantas,cocok,sikep
pantat;puttut,suyut,cungkong,beghik,tahak
pantau;ngeliwih,ughau
pantun;pattun,segata
pahu;beluwah
papah;papah,appin
papak;ghattou,sambut
papan;papan
papaya;gedang,tabukayu
parah;mesassak,bangat
parang;pedang,candung,sasak
paras;pudak,cacah,upou
parit;sighing,limbayan
parut;paghut
pasak;atung,bajei
pasal;hal,pasal
pasang;pasang
pasar;pecan,pasagh
pesemban;pesiban
pasir;heni
pasiran;pesighah
pasti;pasti,tatteu
pasung;blabak,pasung,takkep,belluk
patah;patoh,pateh
patih;patih
patik;hikam,skinduwa,ekam
patok;patok,pacceng
patri;sedogh,patghi
patuh;nutuk
patung;patung
patut;patut,layak
paut;sakkut
pawing;dedukun
paya;ghawang,senap
payah;payah,buya
paying;tudung,paying,tuguk
pecah;pecoh
pecat;pecat
paecut;pembebas,pemukul,pecut
pedagang;saudagagh
pedang;pedang
pedas;lalak
pedati;geghubak,sadeu
pedih;pedih
pedoman;pendoman
peduli;peduli,liwih
pegal;palai,nyeleu,nyilu
pegang;caccan,pegung,kating,keccing
pegawai;pegawai
pekak;tilu,tulok,tileu
pecan;pasagh,pecan
pekarangan;tengebah,banguna,tengahtanah
pekat;ketel,keghas
pekerti;tebeat,kelakuan
pekik;making,pekik,keghik
pelajar;sanaksekula
pelamin;pelamkin
pellampung;apapung,basung
pelan;pelegohan,alun-alun
pelana;pelana
pelanduk;kaccil,napuh
pelangi;ghunih,goneh
pelanhgkah;pelangkah
pelangkin;tandeu
pelatuk;pelatuk
pelaut;pelaut
pelawak;pelawak
pelayan;pelayan
pelbagai;bemacem-macem
pelekat;pelekat
pelepah;pelepah,penepah
pelesir;midogh,midegh
pelihara;matik,isik,pelighou,pejaghou
pelir;teling,peligh
pelit;suit,pisit,cupel
pelita;suit,pisit,cupel
pelitur;pelitugh
pelopor;pengajak,Pemula
pelor;pilugh,pelughu
pelosok;pelosok
peluang;watwaktu,watjalan
peluh;hiting,iting
peliuit;peluwit
peluk;dakok,dakep
pelukis;tukanggambagh
pelupuh;ghessi
pelupuk;kelopak
peluru;pilugh,pelughu
pemali;pattangan,makkasu
pematang;penuppon,pemalang
pemeo;peghughawan,cawouonyah
pemilik;saikedau
pemimpin;ngepala-I,saingatugh
pemuda;meghanai,anakmodou,menganai
pemudi;mulli,mulei
pemuka;tuha-tuha
pena;pen
penari;tokangtaghei
penasaran;makpuas
penat;palai,payah,kelloh,buya
penawar;obat,penawagh
pencak;silik,pecak
pencar;piccagh,tabui,pesah
Pencet;penjil,pecit,pejet
pencil;sikkigh,sekigh,metelut
pencuri;beghatih,pemalin,sebawau
pendam;ghudom,benem
pendapa;anjungan
pendek;buttak,ghenoh,ibah,ebah
pendekar;jaguk,pendikagh
pending;pending
pengalaman;nenahnengei
penganan;kanik-an,kananekan,kakanen
penganten;kebayan,mengiyan,maju
pengap;semok,apek
pengaruh;padah,pengaghuh
pengecut;peghabai
pengembara;puidogh
pengemis;pengemis
penggal;tuttok,tetek,tetok
penggawa;penggawa
penghulu;penghulu
pengkol;biluk,nyepang
pengkor;miccut,kaluk
pening;pudogh,puleng,pening,sakikhulu
peniti;semat,biting,panitei
penjahit;tukangseghuk
penjara;jil,buwi,buwei
penjuru;haguk
pensil;pisil,ghancung,metelut
pensiun;pensiun
pental;pelatting,jukkak
pentas;panggung
pentil;putik,putting
penting;peghallu,penting
pentung;peneteu,pembetu
penuh;latap,telandung,mapagh,spook,peppek
penyair;tokangsaegh
penyayi;tokangpattun
penyok;pinyuk,kelung
penyu;hentipa,bejekue
pepatah;pepatoh,seganeng
pepes;tuaman,teneghem
prabot;peghabut
perahu;upih,biduk,peghahu
perak;perak
perampok;ghappuk,peghampuk
perancang;peghencaka,peghencakou
perang;peghang
perangai;kelakuwan,peghangai
perangkap;pinja,penjou
perangkat;pegghakkat,langkep
perapatan;sepangpak
peras;keccil,piyoh,peghes
perawan;mulli,mulei
perbatin;peghawatijn
percaya;peghcaya,pegchayo,yakin,nemon
percik;peghaccik
percuma;pegcuma
perduli;pedulei
perekat;pelekok,lim
perempupan;bebabi,sebbai
pergi;mid,lapah,lijung,tandak
pergok;peghagguk
perigi;sumogh,sumugh
periksa;peghisa,peghesou
pering;peghing,buluh
perintah;kain,kayun,kisung,peghetan
perintis;pembuka
perisai;taming,tameng
peristiwa;kejadian,peghistiwa
periuk;ghayoh,ghayeh
perkakas;pekakas,peghabut
perkara;pekagha,pekaghou
perkasa;calak,geghoot,padek
perkosa;meghidang,ngakap,gaghhei
perlahan;pelogohan,alun-alun
perlu;peghallu,petting
permadani;ambal,permadanei
permai;helau,betik,wawai
permainsuri;kehajjong,bei
permata;permatou
permisi;betangguh,permisei
pernah;kakjak,ghandujak,ghaduwat
perompak;bajau,bajaklawok
persegi;pesagi
pertama;mula-mula,pakkal,peghtamou
perunggu;tembaga,tembagaou
perunggu;tembaga,,tembagou
perusuh;pengacau
perut;tenai,betong,betting
perwatin;tuhaghja
perwira;gagahbanei
pesan;lehot,umanat,tanggeh
pesat;geluk,lancagh,hallau
pesawat;pesawat
pesiar;midogh
pesirah;pesighah,saibatin
pesisir;pesisigh
pesta;nayuh,begawai,ngeghuah,ngamin,pista
pestol;pestol
petai;petagh
petak;petak
petang;dibi,debei,debbi
peti;peti,kotak
petik;putil,unduh
petir;guntogh,guleu
petis;ghujak
petuah;tetawai,petuwah
piagam;piagem,ijazah
piatu;piyatu
piawai;petegh,pandai
picik;lunik,cutik,semok,podok
pidato;pedato,pedateu
pihak;pehak,kebelah
pijar;pijegh
pijat;yayit,pijit
pikat;pikat
piker;pikigh,angon
pikul;tunggang,pikul
pikun;pikun
pilek;bittok,betook
pilih;pilih
pilu;putok,sedih,hagheu,piyetati
pimpin;pippin
pinang;bakkah,buwah
pincang;kaluk,kiccut,pincang,pikoh,kighut
pindah;malih,pendah
pindang;pindang
pinggang;tengah
pinggir;pinging,penggigh
pingggul;beghik,pakkalpohou
pnggit;kughung
pingsan;telayos,sengelap,salup
pinjam;nginjam
pinsil;pisil,metelut
pinta;kilu,kilui
pintal;gulung
opintar;nalom,pintogh,calak
pintas;pitas,pettas,mittas
pintu;ghagok,blangan
pipa;cuwi,ucci,pipa
pipi;bihong,bingngam
piring;ajang,panjang,sipin,oighing,pinggan
pisah;liwak,pesah,piyak
pisang;punti,puttei
pisau;lading,sekkin
pispot;pispot
pita;pita
pohon;batang,kayeu
pojok;tatuku,tetukeu,bucu
pokok;pukuk,mudal
pokrol;pokghol
pola;battuk,pola
poles;poles,polet
polisi;pelisi,upas,pelisei
politik;pelitik
polos;polos
pompa;kumpa,kuppa,kepau
pondok;kubu,sapu,,anjung,pondok.hula,kubeu
pongah;nuha,lagguk,pungah
popular;kecacah,kesuhugh,tekatou,mupanjak
potong;pelok,tuttok,tettek,ghetis
potret;ganbagh,puto
poyang;apakcanggah
prajurit;seghadu,tentegha,pejuhit
pransangka;teduh,penyana,tokok,pattan
pribadi;pesai,pghibadi
pribumi;aselei
produksi;saniyan,guayan,pemasou'an
program;ghencaka,ghenacan,hencako
protes;nyanggah,ngegugat,ngeghekis
puas;leju,senang,beteng,puas,leggou
puasa;puasa,puwaso
pucat;kehada'an,pucakbunyai
pucuk;kucuk,pucuk
pudar;pudding
pugar;ngedandan,ngewawai
puing;kughgan,tunggah,kas,ighah,gegutu
puiusi;saer,pattun
puja;nyumban,sanjung,hoghmat,mujei,enjujk
pujangga;jangga
puji;bujuk,puji,pujeri,sanjung
pukah;pukat
pukul;gada,pukul,latup,betteu,teteu,tettes
pula;munih,moneh,jogou
pulang;mulang,balik,moloh
pulas;lullok,lellok
pulau;pulau
pulih;muloh,waghas,munyai
pulut;puluk
punah;bela,mupus,punah,gellek,puput,liyau
pumcak;lambung,puncak,pecek,dunggak,datas
pundak;layang,peping
punggawa;penggawo
pungguk;punguk
punggung;tunduh,pimping,tekuyung,penepasagas
punggur;pungguh,penggugh
pungut;udok,odok,tenghalu,tembuk
punjung;punjung,penjung
punting;kelattung,putting
punya;kaddau,kedau,ngedok,ngemek,makni
pupur;bedak
pupus;bela,puput,gelik,upus,putau
pura-pura;ngaku,babudikan
purba;tumbai,zamanhou
purbakal;jebei,timbai
purnama;bagha
pusaka;pusaka,pesako
pusar;pusogh,puseu
pusat;pakkal
pusing;kakenongan,lengong,pusing,legok,pundoghan
pustaka;lullok,lellok
pulau;pulau
pulih;mulloh,waghas,munyai
pulut;puluk
punah;bela,mupus,punah,gellek,puput,liyau
puncak;lambung,puncak,pecccek,dunggak,datas
pundak;layang,peping
ounggawa;penggawo
pungguk;pungguk
punggung;tunduh,pimpingtekuyung,pemepasagas
punggur;punggugh,penjung
puntung;kelattung,putting
punya;kaddau,kedau,ngedok,ngemek,makni
pupur;bedak
pupus;bela,puput,gelik,mupus,puttau
pura-pura;ngaku,babudikan
purba;tumbai,zamnhou
purbakal;jebei,timbai
purnama;bagha
pusaka;pusaka,pesako
pusaar;pusogh,puseu
pusat;pakkal
pusing;kakenongan,lengong,pusing,legok,pundoghan
pustaka;kitab,buku
putar;kenong,putgoh,pustegh,hannen
putih;handak,andak
putik;kemetik
putting;kemeting
putting;ipung,putting
putra;anakbakas,anakghagah,meghanai
putrid;anakbai,mulei,anaksabai,peteghi
putu;putu
putus;pegat,putuk,puptus
puyuh;puyuh
raba;sadak,ghadak,tatap,kayau
rabbi;rabbi
rabuk;pupuk
rabun;ghabun,ghabun
racun;gacun,ghabun
radang;bayoh,gambung,nguppap,ghadang
ragam;ghagem,macem
ragi;ghagi,ghgei
ragu;bindu,ghagug,ghageu
ragum;ghagum,tang
rahang;teghagah,semilan,tigah
rahasia;ghesia,jamuka,ghesiyou
rahim;kandungan
raib;lebon,melap
raih;mansa,dacok,tigeh,cigau,dapok,tecapai
raja;ghaja,ghajou,saibatin
rajah;ghajah,jamat,gegaman
rajam;ghajam
rajang;ghajang,ngigis,ngekis
rajawali;kenui
rajin;ghajin,nemon,ngagok,tetton
rajuik;sikkuh,singut
rajut;nyuban,nyolam,
rak;rak
rakaat;rekaat
