abad;abad,jaman
bengis;sengok,beghagasan,beghangnges
bengkak;bayoh,bayeh,nguppap
bengkok;bikkuk,bukkuk,tangan
bengong;cengogh,nungagh,cengegheg,melongoh,tebelengoh
benih;mullan,molan,bibit,beneh
bening;ghilau,ighang
benjol;battagh,buccul,becul,beccul
bensin;bensin,binsin
bensol;bensol,miyakgas
bentak;hegop,hajjak,haggep
bentang;kecat,bejat,kibaghbetang
benteng;benteng,binting
bentrok;ghusuh,ghituk,selisih
bentuk;battuk,ghupa,guwai,betuk
berahi;teghok,beghahi,napseu
berak;missing,ngising,butoktokan
beranak;nganak,ngelahegh
beranda;beghanda,gaghang,seghambei
berandal;juagha,ngelacugh,lalus
berang;maghah,mesikeng,meghikeng
berangkat;lapah,beghakkat
berani;kawawa,ngattan,bani
beranjak;minjak,begisagh,kisigh
berantakan;tabui,citagh,tekeghap,tabahmiyak
berantam;ghigu,laga,pisulogo
berantas;tegah,lebonko,beghattas
berapa;pigha,pigho,pighou
beras;biyas
berat;biyak,mesedogh
bercak;bughik,belcak,bittul,cemal
berendeng;banjagh,jijigh,bedamping,teghagheg
beres;selesai,bela,ghdeu,aspen
berewok;kajabib,bawok,janggep
berhala;patung
berhenti;taghu,beghadu,bandok
beri;keni,jujjuk,kenei,juk,pujui
beriak;ngumbak,ngumbaklawok
berisik;ghuccah,ghibut,letok
berita;kabagh,beghito,beghitou
beritahu;kenipandai,jukpandai,pandaiko
berkat;beghkat
berlian;itton,beghlian
berniaga;busaha,bedagang
berontak;ngelawan,beghontak
bersih;beghassi,dawa,dawak
beruang;gemul,gemol
beruk;beghuk,menatat
beruntung;mujugh,ghawan
besan;sabai
besar;balak,mesehel
besi;besi,besei
beskuit;ghutei,juadah
besok;jemoh,jimmoh
besuk;nyilau,nyubuk,ninuk
betah;ketahan,keghasan,teddos,teddes
betina;bai,bebai,sebai
betis;bintogh,bittegh,betteu
betton;beton,semen
betul;benogh,temon
biadab;kughangajagh,makbeadat
biang;bibit,mulan,asal,pumakkal
biar;tagan,pejah,kenai,kayak
biasa;biasa,biaso,jamak,biasou
biawak;alu,aleu,bejawak
biaya;dau,ukkus,biya,biyou,biaya
bibi;minan,keminan,adou
bibir;bibbigh,pepik
bibit;biang,mulan,benih,kelabai
bidadari;bidadakhi,bidoudaghi
bidal;kiasantawai,saghungculak
bidan;bidan,dukunnganak
bidik;tinuk,tuwon,tuju,timah
biduk;biduk,jukung,peghasu,sappan
biji;biji,bijie
bikin;nyani,guwai
bilah;sasagh,bilah,cucuk
bilal;bilal,tukangbang,maghbut
bilamana;lamen,amen,kalau,kittu
bilas;keccil,bedawak,peghas,gighas
bilik;bilik,lebing,kamagh,pedoman
bimbang;ghagu,nyegheduwo,ghidu
bombing;tawit,tuttun,bimbing
bina;tawai,bembing,dengon,
binal;bengol,peghidang,tiagh
binasa;cadang,binasa,binasou
binatang;hiwan,setuwa,binatang
binatu;seteghika,gosok
bindeng;mehuyong,keseng
bingkai;bikkai,singkagh,bekkai
bingung;bingung,bengong
bini;inggom,kehajjong,bei,sei-nuwou,tian,dilamban
bintang;bittang,betang
bintik;bintik,belecak,ghuccek
bintit;bintil,butegh,bittit,kedisan
biru;bighu,bigheu
bis;bis,bes
bisa;dacok,dapok
bisik;siyep,sasiyep
bising;mingogh,ghituk,ngeghassing,memong
bisnis;usaha,dagang,bisnis
bisu;uba,bisu,obou
bisul;mesunuk,busumek,besonok
bius;ghacun,bius,tuba
bobok;pedomko,pedem,bubuk
bocor;tukak,bucur,bucu
bodoh;bugu,gunjogh,budu,lugugh
bohong;buhung,budik,maksetemen
boikot;sassing,bikot,bekot
bola;bal
boleh;mingan,dacok,dapok
bolong;tukak,tebuk,chawong,lubang
bolos;makizin,lepas,bolos
bon;utang,bon,nginjam
boneka;kakanak,anak,anakan,anakcinaou
bonggol;tuhot,gabal,bungkah,tuhed,pughung,cakki
bongkar;bukkagh,bundak,bekagh
bongkok;bukkuk,sungguk
